symbol,coverage_start,entry_date,entry_price,exit_date,exit_price,shares,gross_pnl,fees,slippage,net_pnl,return,exit_reason,holding_days,strategy_version
00100.HK,20260109,20260112,379.17879999999997,20260112,397.602,263,4845.301599999992,349.72134647999997,204.29839999999479,4495.580253519992,0.04508021292329627,take_profit,1,baseline_momentum
00501.HK,20260112,20260113,124.52439999999999,20260113,114.7851,803,-7820.657899999991,322.7710695,192.15789999998864,-8143.428969499991,-0.08143991458702061,stop_loss,1,baseline_momentum
01021.HK,20260330,20260331,19.019,20260331,17.282700000000002,5257,-9127.729099999982,319.86079817999996,190.82909999998483,-9447.589898179982,-0.09449207318996776,stop_loss,1,baseline_momentum
01236.HK,20260511,20260512,62.86279999999999,20260512,51.5484,1590,-17989.89599999998,300.2585256,181.8959999999941,-18290.154525599977,-0.1829896511132178,stop_loss,1,baseline_momentum
02513.HK,20260108,20260109,137.33719999999997,20260109,158.4414,728,15363.857600000018,373.73752415999996,215.34239999998954,14990.120075840017,0.14992896520389254,take_profit,1,baseline_momentum
02706.HK,20260213,20260216,103.90379999999999,20260216,119.88,962,15369.104400000011,373.66057872,215.29559999999722,14995.44382128001,0.15002126428484822,take_profit,1,baseline_momentum
02723.HK,20260527,20260528,200.2,20260528,349.65,499,74575.54999999999,503.7255299999999,274.4500000000057,74071.82446999999,0.7414611888111888,take_profit,1,baseline_momentum
03310.HK,20260527,20260528,41.041,20260528,34.4655,2436,-16017.91799999999,304.67855879999996,183.91799999999543,-16322.59655879999,-0.1632653517214492,stop_loss,1,baseline_momentum
06636.HK,20260330,20260331,96.2962,20260331,71.928,1038,-25294.191600000006,284.20132752,174.59159999999875,-25578.392927520006,-0.2558979174671483,stop_loss,1,baseline_momentum
06656.HK,20260416,20260417,643.6429999999999,20260417,599.4,155,-6857.664999999994,324.112998,192.6649999999904,-7181.777997999993,-0.07198719103602456,stop_loss,1,baseline_momentum
06872.HK,20260522,20260526,211.21099999999998,20260526,235.3644,473,11424.558200000014,364.80355824,211.241799999995,11059.754641760013,0.11070514850078846,stop_loss,1,baseline_momentum
06938.HK,20260109,20260112,85.43534999999999,20260114,76.07385000000001,1170,-10952.954999999973,315.7653213,188.95499999998776,-11268.720321299972,-0.11273301847537323,stop_loss,3,baseline_momentum
07630.HK,20260513,20260514,43.10306,20260514,39.96,2320,-7291.8992,323.95475904,192.69919999999104,-7615.85395904,-0.0761592256327045,stop_loss,1,baseline_momentum
07688.HK,20260520,20260521,48.96892,20260521,39.96,2042,-18396.21463999999,299.50974556799997,181.5746399999889,-18695.72438556799,-0.1869674623005775,stop_loss,1,baseline_momentum
00068.HK,20260417,20260420,19.47946,20260420,37.40256,5133,91999.27230000001,542.357830872,292.06769999997584,91456.91446912801,0.914678282457522,take_profit,1,reversal
00470.HK,20260211,20260212,45.044999999999995,20260216,45.954,2220,2017.9800000000105,344.439216,202.01999999998662,1673.5407840000105,0.016735424575424682,holding_period,3,reversal
00664.HK,20260331,20260401,29.8298,20260401,32.907059999999994,3352,10314.975519999978,362.657210784,210.30448000000527,9952.318309215978,0.09953364447632881,stop_loss,1,reversal
00901.HK,20260527,20260528,58.558499999999995,20260529,61.938,1707,5768.806500000006,352.5531966,205.69349999998758,5416.253303400006,0.0541845539076309,take_profit,2,reversal
01187.HK,20260506,20260507,38.5385,20260511,37.962,2594,-1495.440999999977,336.6041844,198.4409999999891,-1832.0451843999772,-0.018326156959922967,holding_period,3,reversal
01609.HK,20260505,20260506,220.21999999999997,20260506,218.1816,454,-925.4335999999894,337.89563807999997,199.03359999998776,-1263.3292380799894,-0.012635834710743697,stop_loss,1,reversal
01641.HK,20260113,20260114,13.012999999999998,20260114,12.86712,7684,-1120.9419199999975,337.50636057599996,198.86191999999244,-1458.4482805759974,-0.01458566541151154,stop_loss,1,reversal
01768.HK,20260128,20260129,392.79239999999993,20260202,391.608,254,-300.8375999999844,338.55367392,199.23759999998686,-639.3912739199843,-0.006408699557323254,holding_period,3,reversal
01779.HK,20260605,20260608,130.13,20260608,123.876,768,-4803.071999999986,329.22869760000003,195.07199999999284,-5132.300697599985,-0.051353901483132104,stop_loss,1,reversal
02290.HK,20260605,20260608,2.7827799999999994,20260608,2.4275700000000002,35935,-12764.471349999963,311.91544065,187.22134999998178,-13076.386790649964,-0.1307649149411736,stop_loss,1,reversal
02476.HK,20260421,20260422,310.30999999999995,20260424,315.2844,322,1601.7568000000174,343.25125295999993,201.4431999999881,1258.5055470400175,0.012595154265089926,holding_period,3,reversal
02493.HK,20260428,20260429,27.1271,20260504,27.81216,3686,2525.1311600000045,345.52295659199996,202.50883999999422,2179.6082034080046,0.021798154907822852,holding_period,3,reversal
02526.HK,20260330,20260331,215.21499999999997,20260331,197.802,464,-8079.631999999998,321.7479936,191.63199999999188,-8401.379993599998,-0.08413178635318168,stop_loss,1,reversal
02553.HK,20260603,20260604,20.240219999999997,20260604,34.205760000000005,4940,68989.76760000004,491.73222384,269.03239999997675,68498.03537616004,0.6850715587083545,take_profit,1,reversal
02632.HK,20260324,20260325,28.228199999999998,20260325,45.31464,3542,60520.170479999986,473.0909420159999,260.54952000000185,60047.079537983984,0.6005651778009223,take_profit,1,reversal
02649.HK,20260309,20260310,6.296289999999999,20260310,6.05394,15882,-3849.0026999999827,331.524298512,196.14269999998015,-4180.526998511983,-0.04180624081800536,stop_loss,1,reversal
02675.HK,20260108,20260109,58.05799999999999,20260109,55.944,1722,-3640.30799999999,331.9093008,196.30799999998297,-3972.21730079999,-0.039731757897275045,stop_loss,1,reversal
